都道府県,国籍,時点,人口
兵庫県,ブラジル,2025/06,2387
兵庫県,ベトナム,2024/06,30342
兵庫県,ベトナム,2025/06,32933
兵庫県,ペルー,2024/06,815
兵庫県,ペルー,2025/06,835
兵庫県,ミャンマー,2024/06,4162
兵庫県,ミャンマー,2025/06,6348
兵庫県,モンゴル,2024/06,376
兵庫県,モンゴル,2025/06,403
兵庫県,中国,2024/06,23762
兵庫県,中国,2025/06,24972
兵庫県,台湾,2024/06,2217
兵庫県,台湾,2025/06,2280
兵庫県,米国,2024/06,2610
兵庫県,米国,2025/06,2665
兵庫県,総数,2024/06,137044
兵庫県,総数,2025/06,148569
兵庫県,英国,2024/06,750
兵庫県,英国,2025/06,757
兵庫県,韓国・朝鮮,2024/06,37050
兵庫県,韓国・朝鮮,2025/06,36178
北海道,その他,2024/06,4939
北海道,その他,2025/06,5173
北海道,インド,2024/06,1548
北海道,インド,2025/06,1703
北海道,インドネシア,2024/06,7676
北海道,インドネシア,2025/06,11167
北海道,カンボジア,2024/06,611
北海道,カンボジア,2025/06,686
北海道,スリランカ,2024/06,589
北海道,スリランカ,2025/06,687
北海道,タイ,2024/06,1471
北海道,タイ,2025/06,1600
北海道,ネパール,2024/06,2453
北海道,ネパール,2025/06,3020
北海道,バングラデシュ,2024/06,304
北海道,バングラデシュ,2025/06,342
北海道,パキスタン,2024/06,732
北海道,パキスタン,2025/06,937
北海道,フィリピン,2024/06,3342
北海道,フィリピン,2025/06,3822
北海道,ブラジル,2024/06,181
北海道,ブラジル,2025/06,203
北海道,ベトナム,2024/06,13287
北海道,ベトナム,2025/06,14035
北海道,ペルー,2024/06,61
北海道,ペルー,2025/06,68
北海道,ミャンマー,2024/06,3952
北海道,ミャンマー,2025/06,5668
北海道,モンゴル,2024/06,683
北海道,モンゴル,2025/06,644
北海道,中国,2024/06,9824
北海道,中国,2025/06,10495
北海道,台湾,2024/06,1570
北海道,台湾,2025/06,1785
北海道,米国,2024/06,1520
北海道,米国,2025/06,1639
北海道,総数,2024/06,60273
北海道,総数,2025/06,69620
北海道,英国,2024/06,638
北海道,英国,2025/06,723
北海道,韓国・朝鮮,2024/06,4892
北海道,韓国・朝鮮,2025/06,5223
千葉県,その他,2024/06,12916
千葉県,その他,2025/06,14136
千葉県,インド,2024/06,2583
千葉県,インド,2025/06,2908
千葉県,インドネシア,2024/06,8798
千葉県,インドネシア,2025/06,12229
千葉県,カンボジア,2024/06,1240
千葉県,カンボジア,2025/06,1443
千葉県,スリランカ,2024/06,9782
千葉県,スリランカ,2025/06,13146
千葉県,タイ,2024/06,6996
千葉県,タイ,2025/06,7311
千葉県,ネパール,2024/06,16999
千葉県,ネパール,2025/06,23221
千葉県,バングラデシュ,2024/06,1905
千葉県,バングラデシュ,2025/06,2395
千葉県,パキスタン,2024/06,2310
千葉県,パキスタン,2025/06,2702
千葉県,フィリピン,2024/06,22500
千葉県,フィリピン,2025/06,23951
千葉県,ブラジル,2024/06,3617
千葉県,ブラジル,2025/06,3656
千葉県,ベトナム,2024/06,35458
千葉県,ベトナム,2025/06,39806
千葉県,ペルー,2024/06,2699
千葉県,ペルー,2025/06,2691
千葉県,ミャンマー,2024/06,5237
千葉県,ミャンマー,2025/06,7702
千葉県,モンゴル,2024/06,2552
千葉県,モンゴル,2025/06,2749
千葉県,中国,2024/06,59619
千葉県,中国,2025/06,63163
千葉県,台湾,2024/06,4084
千葉県,台湾,2025/06,4258
千葉県,米国,2024/06,2647
千葉県,米国,2025/06,2758
千葉県,総数,2024/06,219131
千葉県,総数,2025/06,247580
千葉県,英国,2024/06,976
千葉県,英国,2025/06,1018
千葉県,韓国・朝鮮,2024/06,16213
千葉県,韓国・朝鮮,2025/06,16337
和歌山県,その他,2024/06,446
和歌山県,その他,2025/06,461
和歌山県,インド,2024/06,88
和歌山県,インド,2025/06,99
和歌山県,インドネシア,2024/06,629
和歌山県,インドネシア,2025/06,1021
和歌山県,カンボジア,2024/06,52
和歌山県,カンボジア,2025/06,56
和歌山県,スリランカ,2024/06,91
和歌山県,スリランカ,2025/06,127
和歌山県,タイ,2024/06,582
和歌山県,タイ,2025/06,610
和歌山県,ネパール,2024/06,439
和歌山県,ネパール,2025/06,634
和歌山県,バングラデシュ,2024/06,41
和歌山県,バングラデシュ,2025/06,55
和歌山県,パキスタン,2024/06,18
和歌山県,パキスタン,2025/06,28
和歌山県,フィリピン,2024/06,945
和歌山県,フィリピン,2025/06,993
和歌山県,ブラジル,2024/06,113
和歌山県,ブラジル,2025/06,125
和歌山県,ベトナム,2024/06,2051
和歌山県,ベトナム,2025/06,2248
和歌山県,ペルー,2024/06,20
和歌山県,ペルー,2025/06,16
和歌山県,ミャンマー,2024/06,397
和歌山県,ミャンマー,2025/06,599
和歌山県,モンゴル,2024/06,60
和歌山県,モンゴル,2025/06,45
和歌山県,中国,2024/06,1331
和歌山県,中国,2025/06,1376
和歌山県,台湾,2024/06,134
和歌山県,台湾,2025/06,123
和歌山県,米国,2024/06,188
和歌山県,米国,2025/06,211
和歌山県,総数,2024/06,9572
和歌山県,総数,2025/06,10736
和歌山県,英国,2024/06,43
和歌山県,英国,2025/06,44
和歌山県,韓国・朝鮮,2024/06,1904
和歌山県,韓国・朝鮮,2025/06,1865
埼玉県,その他,2024/06,13135
埼玉県,その他,2025/06,14088
埼玉県,インド,2024/06,2239
埼玉県,インド,2025/06,2742
埼玉県,インドネシア,2024/06,9150
埼玉県,インドネシア,2025/06,12652
埼玉県,カンボジア,2024/06,1032
埼玉県,カンボジア,2025/06,1199
埼玉県,スリランカ,2024/06,3445
埼玉県,スリランカ,2025/06,4524
埼玉県,タイ,2024/06,4233
埼玉県,タイ,2025/06,4290
埼玉県,ネパール,2024/06,14066
埼玉県,ネパール,2025/06,18449
埼玉県,バングラデシュ,2024/06,4354
埼玉県,バングラデシュ,2025/06,5571
埼玉県,パキスタン,2024/06,3767
埼玉県,パキスタン,2025/06,4287
埼玉県,フィリピン,2024/06,24658
埼玉県,フィリピン,2025/06,25647
埼玉県,ブラジル,2024/06,7415
埼玉県,ブラジル,2025/06,7192
埼玉県,ベトナム,2024/06,44300
埼玉県,ベトナム,2025/06,50331
埼玉県,ペルー,2024/06,3342
埼玉県,ペルー,2025/06,3344
埼玉県,ミャンマー,2024/06,6592
埼玉県,ミャンマー,2025/06,9682
埼玉県,モンゴル,2024/06,2563
埼玉県,モンゴル,2025/06,2737
埼玉県,中国,2024/06,81800
埼玉県,中国,2025/06,87047
埼玉県,台湾,2024/06,3385
埼玉県,台湾,2025/06,3413
埼玉県,米国,2024/06,2269
埼玉県,米国,2025/06,2340
埼玉県,総数,2024/06,249327
埼玉県,総数,2025/06,277209
埼玉県,英国,2024/06,735
埼玉県,英国,2025/06,763
埼玉県,韓国・朝鮮,2024/06,16847
埼玉県,韓国・朝鮮,2025/06,16911
大分県,その他,2024/06,1093
大分県,その他,2025/06,1157
大分県,インド,2024/06,164
大分県,インド,2025/06,214
大分県,インドネシア,2024/06,2370
大分県,インドネシア,2025/06,3095
大分県,カンボジア,2024/06,373
大分県,カンボジア,2025/06,407
大分県,スリランカ,2024/06,658
大分県,スリランカ,2025/06,886
大分県,タイ,2024/06,338
大分県,タイ,2025/06,350
大分県,ネパール,2024/06,1115
大分県,ネパール,2025/06,1359
大分県,バングラデシュ,2024/06,248
大分県,バングラデシュ,2025/06,326
大分県,パキスタン,2024/06,92
大分県,パキスタン,2025/06,92
大分県,フィリピン,2024/06,1999
大分県,フィリピン,2025/06,2253
大分県,ブラジル,2024/06,82
大分県,ブラジル,2025/06,94
大分県,ベトナム,2024/06,3672
大分県,ベトナム,2025/06,3829
大分県,ペルー,2024/06,28
大分県,ペルー,2025/06,23
大分県,ミャンマー,2024/06,1879
大分県,ミャンマー,2025/06,2882
大分県,モンゴル,2024/06,212
大分県,モンゴル,2025/06,216
大分県,中国,2024/06,2277
大分県,中国,2025/06,2211
大分県,台湾,2024/06,197
大分県,台湾,2025/06,179
大分県,米国,2024/06,331
大分県,米国,2025/06,365
大分県,総数,2024/06,18954
大分県,総数,2025/06,21708
大分県,英国,2024/06,72
大分県,英国,2025/06,68
大分県,韓国・朝鮮,2024/06,1754
大分県,韓国・朝鮮,2025/06,1702
大阪府,その他,2024/06,10983
大阪府,その他,2025/06,13805
大阪府,インド,2024/06,1773
大阪府,インド,2025/06,2095
大阪府,インドネシア,2024/06,10063
大阪府,インドネシア,2025/06,13592
大阪府,カンボジア,2024/06,881
大阪府,カンボジア,2025/06,1046
大阪府,スリランカ,2024/06,2154
大阪府,スリランカ,2025/06,3191
大阪府,タイ,2024/06,3078
大阪府,タイ,2025/06,3309
大阪府,ネパール,2024/06,17398
大阪府,ネパール,2025/06,24727
大阪府,バングラデシュ,2024/06,1791
大阪府,バングラデシュ,2025/06,2743
大阪府,パキスタン,2024/06,910
大阪府,パキスタン,2025/06,1215
大阪府,フィリピン,2024/06,11835
大阪府,フィリピン,2025/06,12877
大阪府,ブラジル,2024/06,2776
大阪府,ブラジル,2025/06,2777
大阪府,ベトナム,2024/06,58529
大阪府,ベトナム,2025/06,67611
大阪府,ペルー,2024/06,1356
大阪府,ペルー,2025/06,1360
大阪府,ミャンマー,2024/06,7446
大阪府,ミャンマー,2025/06,12054
大阪府,モンゴル,2024/06,759
大阪府,モンゴル,2025/06,805
大阪府,中国,2024/06,81499
大阪府,中国,2025/06,92946
大阪府,台湾,2024/06,7629
大阪府,台湾,2025/06,8330
大阪府,米国,2024/06,3706
大阪府,米国,2025/06,4104
大阪府,総数,2024/06,317421
大阪府,総数,2025/06,360390
大阪府,英国,2024/06,1283
大阪府,英国,2025/06,1418
大阪府,韓国・朝鮮,2024/06,91572
大阪府,韓国・朝鮮,2025/06,90385
奈良県,その他,2024/06,1005
奈良県,その他,2025/06,1042
奈良県,インド,2024/06,99
奈良県,インド,2025/06,129
奈良県,インドネシア,2024/06,996
奈良県,インドネシア,2025/06,1391
奈良県,カンボジア,2024/06,104
奈良県,カンボジア,2025/06,119
奈良県,スリランカ,2024/06,395
奈良県,スリランカ,2025/06,526
奈良県,タイ,2024/06,513
奈良県,タイ,2025/06,516
奈良県,ネパール,2024/06,891
奈良県,ネパール,2025/06,1086
奈良県,バングラデシュ,2024/06,174
奈良県,バングラデシュ,2025/06,246
奈良県,パキスタン,2024/06,72
奈良県,パキスタン,2025/06,89
奈良県,フィリピン,2024/06,1053
奈良県,フィリピン,2025/06,1123
奈良県,ブラジル,2024/06,329
奈良県,ブラジル,2025/06,338
奈良県,ベトナム,2024/06,4222
奈良県,ベトナム,2025/06,4962
奈良県,ペルー,2024/06,167
奈良県,ペルー,2025/06,160
奈良県,ミャンマー,2024/06,1075
奈良県,ミャンマー,2025/06,1405
奈良県,モンゴル,2024/06,62
奈良県,モンゴル,2025/06,67
奈良県,中国,2024/06,3093
奈良県,中国,2025/06,3158
奈良県,台湾,2024/06,363
奈良県,台湾,2025/06,376
奈良県,米国,2024/06,426
奈良県,米国,2025/06,432
奈良県,総数,2024/06,18320
奈良県,総数,2025/06,20411
奈良県,英国,2024/06,99
奈良県,英国,2025/06,103
奈良県,韓国・朝鮮,2024/06,3182
奈良県,韓国・朝鮮,2025/06,3143
宮城県,その他,2024/06,1627
宮城県,その他,2025/06,1737
宮城県,インド,2024/06,305
宮城県,インド,2025/06,312
宮城県,インドネシア,2024/06,2419
宮城県,インドネシア,2025/06,3148
宮城県,カンボジア,2024/06,198
宮城県,カンボジア,2025/06,237
宮城県,スリランカ,2024/06,617
宮城県,スリランカ,2025/06,863
宮城県,タイ,2024/06,429
宮城県,タイ,2025/06,443
宮城県,ネパール,2024/06,3099
宮城県,ネパール,2025/06,3561
宮城県,バングラデシュ,2024/06,492
宮城県,バングラデシュ,2025/06,588
宮城県,パキスタン,2024/06,477
宮城県,パキスタン,2025/06,556
宮城県,フィリピン,2024/06,1747
宮城県,フィリピン,2025/06,1811
宮城県,ブラジル,2024/06,159
宮城県,ブラジル,2025/06,184
宮城県,ベトナム,2024/06,4977
宮城県,ベトナム,2025/06,5078
宮城県,ペルー,2024/06,31
宮城県,ペルー,2025/06,35
宮城県,ミャンマー,2024/06,1477
宮城県,ミャンマー,2025/06,1925
宮城県,モンゴル,2024/06,182
宮城県,モンゴル,2025/06,165
宮城県,中国,2024/06,5563
宮城県,中国,2025/06,5735
宮城県,台湾,2024/06,468
宮城県,台湾,2025/06,518
宮城県,米国,2024/06,717
宮城県,米国,2025/06,812
宮城県,総数,2024/06,28330
宮城県,総数,2025/06,31041
宮城県,英国,2024/06,145
宮城県,英国,2025/06,146
宮城県,韓国・朝鮮,2024/06,3201
宮城県,韓国・朝鮮,2025/06,3187
宮崎県,その他,2024/06,586
宮崎県,その他,2025/06,628
宮崎県,インド,2024/06,78
宮崎県,インド,2025/06,95
宮崎県,インドネシア,2024/06,2204
宮崎県,インドネシア,2025/06,2901
宮崎県,カンボジア,2024/06,268
宮崎県,カンボジア,2025/06,256
宮崎県,スリランカ,2024/06,71
宮崎県,スリランカ,2025/06,100
宮崎県,タイ,2024/06,78
宮崎県,タイ,2025/06,75
宮崎県,ネパール,2024/06,460
宮崎県,ネパール,2025/06,729
宮崎県,バングラデシュ,2024/06,105
宮崎県,バングラデシュ,2025/06,138
宮崎県,パキスタン,2024/06,60
宮崎県,パキスタン,2025/06,70
宮崎県,フィリピン,2024/06,1019
宮崎県,フィリピン,2025/06,1116
宮崎県,ブラジル,2024/06,57
宮崎県,ブラジル,2025/06,56
宮崎県,ベトナム,2024/06,2914
宮崎県,ベトナム,2025/06,2993
宮崎県,ペルー,2024/06,6
宮崎県,ペルー,2025/06,10
宮崎県,ミャンマー,2024/06,810
宮崎県,ミャンマー,2025/06,1248
宮崎県,モンゴル,2024/06,52
宮崎県,モンゴル,2025/06,42
宮崎県,中国,2024/06,877
宮崎県,中国,2025/06,839
宮崎県,台湾,2024/06,50
宮崎県,台湾,2025/06,51
宮崎県,米国,2024/06,237
宮崎県,米国,2025/06,237
宮崎県,総数,2024/06,10494
宮崎県,総数,2025/06,12147
宮崎県,英国,2024/06,64
宮崎県,英国,2025/06,66
宮崎県,韓国・朝鮮,2024/06,498
宮崎県,韓国・朝鮮,2025/06,497
富山県,その他,2024/06,1412
富山県,その他,2025/06,1503
富山県,インド,2024/06,232
富山県,インド,2025/06,285
富山県,インドネシア,2024/06,2160
富山県,インドネシア,2025/06,2892
富山県,カンボジア,2024/06,282
富山県,カンボジア,2025/06,287
富山県,スリランカ,2024/06,64
富山県,スリランカ,2025/06,86
富山県,タイ,2024/06,228
富山県,タイ,2025/06,247
富山県,ネパール,2024/06,403
富山県,ネパール,2025/06,505
富山県,バングラデシュ,2024/06,165
富山県,バングラデシュ,2025/06,183
富山県,パキスタン,2024/06,765
富山県,パキスタン,2025/06,867
富山県,フィリピン,2024/06,2852
富山県,フィリピン,2025/06,2983
富山県,ブラジル,2024/06,2541
富山県,ブラジル,2025/06,2686
富山県,ベトナム,2024/06,5758
富山県,ベトナム,2025/06,5946
富山県,ペルー,2024/06,59
富山県,ペルー,2025/06,60
富山県,ミャンマー,2024/06,609
富山県,ミャンマー,2025/06,905
富山県,モンゴル,2024/06,157
富山県,モンゴル,2025/06,173
富山県,中国,2024/06,4360
富山県,中国,2025/06,4336
富山県,台湾,2024/06,180
富山県,台湾,2025/06,187
富山県,米国,2024/06,236
富山県,米国,2025/06,261
富山県,総数,2024/06,23382
富山県,総数,2025/06,25311
富山県,英国,2024/06,56
富山県,英国,2025/06,48
富山県,韓国・朝鮮,2024/06,863
富山県,韓国・朝鮮,2025/06,871
山口県,その他,2024/06,530
山口県,その他,2025/06,551
山口県,インド,2024/06,72
山口県,インド,2025/06,81
山口県,インドネシア,2024/06,1972
山口県,インドネシア,2025/06,2616
山口県,カンボジア,2024/06,131
山口県,カンボジア,2025/06,164
山口県,スリランカ,2024/06,117
山口県,スリランカ,2025/06,155
山口県,タイ,2024/06,315
山口県,タイ,2025/06,226
山口県,ネパール,2024/06,961
山口県,ネパール,2025/06,1127
山口県,バングラデシュ,2024/06,169
山口県,バングラデシュ,2025/06,231
山口県,パキスタン,2024/06,47
山口県,パキスタン,2025/06,58
山口県,フィリピン,2024/06,2112
山口県,フィリピン,2025/06,2336
山口県,ブラジル,2024/06,309
山口県,ブラジル,2025/06,252
山口県,ベトナム,2024/06,4890
山口県,ベトナム,2025/06,5045
山口県,ペルー,2024/06,43
山口県,ペルー,2025/06,50
山口県,ミャンマー,2024/06,988
山口県,ミャンマー,2025/06,1163
山口県,モンゴル,2024/06,20
山口県,モンゴル,2025/06,18
山口県,中国,2024/06,2392
山口県,中国,2025/06,2390
山口県,台湾,2024/06,123
山口県,台湾,2025/06,111
山口県,米国,2024/06,486
山口県,米国,2025/06,477
山口県,総数,2024/06,20649
山口県,総数,2025/06,21866
山口県,英国,2024/06,62
山口県,英国,2025/06,66
山口県,韓国・朝鮮,2024/06,4910
山口県,韓国・朝鮮,2025/06,4749
山形県,その他,2024/06,349
山形県,その他,2025/06,391
山形県,インド,2024/06,57
山形県,インド,2025/06,69
山形県,インドネシア,2024/06,513
山形県,インドネシア,2025/06,718
山形県,カンボジア,2024/06,130
山形県,カンボジア,2025/06,168
山形県,スリランカ,2024/06,38
山形県,スリランカ,2025/06,19
山形県,タイ,2024/06,203
山形県,タイ,2025/06,216
山形県,ネパール,2024/06,229
山形県,ネパール,2025/06,307
山形県,バングラデシュ,2024/06,74
山形県,バングラデシュ,2025/06,98
山形県,パキスタン,2024/06,90
山形県,パキスタン,2025/06,100
山形県,フィリピン,2024/06,1040
山形県,フィリピン,2025/06,1117
山形県,ブラジル,2024/06,88
山形県,ブラジル,2025/06,85
山形県,ベトナム,2024/06,2991
山形県,ベトナム,2025/06,3017
山形県,ペルー,2024/06,12
山形県,ペルー,2025/06,14
山形県,ミャンマー,2024/06,443
山形県,ミャンマー,2025/06,655
山形県,モンゴル,2024/06,115
山形県,モンゴル,2025/06,92
山形県,中国,2024/06,1883
山形県,中国,2025/06,1896
山形県,台湾,2024/06,136
山形県,台湾,2025/06,138
山形県,米国,2024/06,210
山形県,米国,2025/06,222
山形県,総数,2024/06,10058
山形県,総数,2025/06,10753
山形県,英国,2024/06,55
山形県,英国,2025/06,52
山形県,韓国・朝鮮,2024/06,1402
山形県,韓国・朝鮮,2025/06,1379
山梨県,その他,2024/06,1004
山梨県,その他,2025/06,1031
山梨県,インド,2024/06,381
山梨県,インド,2025/06,459
山梨県,インドネシア,2024/06,829
山梨県,インドネシア,2025/06,1228
山梨県,カンボジア,2024/06,77
山梨県,カンボジア,2025/06,120
山梨県,スリランカ,2024/06,194
山梨県,スリランカ,2025/06,245
山梨県,タイ,2024/06,674
山梨県,タイ,2025/06,708
山梨県,ネパール,2024/06,954
山梨県,ネパール,2025/06,1195
山梨県,バングラデシュ,2024/06,90
山梨県,バングラデシュ,2025/06,124
山梨県,パキスタン,2024/06,84
山梨県,パキスタン,2025/06,117
山梨県,フィリピン,2024/06,2386
山梨県,フィリピン,2025/06,2460
山梨県,ブラジル,2024/06,2782
山梨県,ブラジル,2025/06,2803
山梨県,ベトナム,2024/06,4428
山梨県,ベトナム,2025/06,4793
山梨県,ペルー,2024/06,664
山梨県,ペルー,2025/06,658
山梨県,ミャンマー,2024/06,598
山梨県,ミャンマー,2025/06,863
山梨県,モンゴル,2024/06,207
山梨県,モンゴル,2025/06,236
山梨県,中国,2024/06,4458
山梨県,中国,2025/06,4627
山梨県,台湾,2024/06,579
山梨県,台湾,2025/06,582
山梨県,米国,2024/06,377
山梨県,米国,2025/06,380
山梨県,総数,2024/06,22547
山梨県,総数,2025/06,24392
山梨県,英国,2024/06,106
山梨県,英国,2025/06,106
山梨県,韓国・朝鮮,2024/06,1675
山梨県,韓国・朝鮮,2025/06,1657
岐阜県,その他,2024/06,1352
岐阜県,その他,2025/06,1514
岐阜県,インド,2024/06,275
岐阜県,インド,2025/06,314
岐阜県,インドネシア,2024/06,3712
岐阜県,インドネシア,2025/06,5144
岐阜県,カンボジア,2024/06,1240
岐阜県,カンボジア,2025/06,1374
岐阜県,スリランカ,2024/06,967
岐阜県,スリランカ,2025/06,1412
岐阜県,タイ,2024/06,1001
岐阜県,タイ,2025/06,965
岐阜県,ネパール,2024/06,2437
岐阜県,ネパール,2025/06,3123
岐阜県,バングラデシュ,2024/06,338
岐阜県,バングラデシュ,2025/06,464
岐阜県,パキスタン,2024/06,683
岐阜県,パキスタン,2025/06,919
岐阜県,フィリピン,2024/06,15908
岐阜県,フィリピン,2025/06,16562
岐阜県,ブラジル,2024/06,12302
岐阜県,ブラジル,2025/06,12375
岐阜県,ベトナム,2024/06,14598
岐阜県,ベトナム,2025/06,15621
岐阜県,ペルー,2024/06,905
岐阜県,ペルー,2025/06,891
岐阜県,ミャンマー,2024/06,2146
岐阜県,ミャンマー,2025/06,2968
岐阜県,モンゴル,2024/06,137
岐阜県,モンゴル,2025/06,128
岐阜県,中国,2024/06,9300
岐阜県,中国,2025/06,9268
岐阜県,台湾,2024/06,193
岐阜県,台湾,2025/06,205
岐阜県,米国,2024/06,443
岐阜県,米国,2025/06,452
岐阜県,総数,2024/06,71617
岐阜県,総数,2025/06,77301
岐阜県,英国,2024/06,119
岐阜県,英国,2025/06,120
岐阜県,韓国・朝鮮,2024/06,3561
岐阜県,韓国・朝鮮,2025/06,3482
岡山県,その他,2024/06,1138
岡山県,その他,2025/06,1215
岡山県,インド,2024/06,170
岡山県,インド,2025/06,181
岡山県,インドネシア,2024/06,3242
岡山県,インドネシア,2025/06,4109
岡山県,カンボジア,2024/06,521
岡山県,カンボジア,2025/06,514
岡山県,スリランカ,2024/06,319
岡山県,スリランカ,2025/06,444
岡山県,タイ,2024/06,436
岡山県,タイ,2025/06,462
岡山県,ネパール,2024/06,1399
岡山県,ネパール,2025/06,1804
岡山県,バングラデシュ,2024/06,300
岡山県,バングラデシュ,2025/06,412
岡山県,パキスタン,2024/06,235
岡山県,パキスタン,2025/06,296
岡山県,フィリピン,2024/06,2530
岡山県,フィリピン,2025/06,2754
岡山県,ブラジル,2024/06,938
岡山県,ブラジル,2025/06,867
岡山県,ベトナム,2024/06,12012
岡山県,ベトナム,2025/06,12665
岡山県,ペルー,2024/06,130
岡山県,ペルー,2025/06,135
岡山県,ミャンマー,2024/06,1520
岡山県,ミャンマー,2025/06,1964
岡山県,モンゴル,2024/06,60
岡山県,モンゴル,2025/06,74
岡山県,中国,2024/06,6967
岡山県,中国,2025/06,7089
岡山県,台湾,2024/06,197
岡山県,台湾,2025/06,208
岡山県,米国,2024/06,429
